method,test_role,aggregation_type,sample_count,rmse,mae,relative_l2,maximum_absolute_error,source_integral_error,source_peak_value_error,source_peak_location_distance,nonnegative_violation_fraction,boundary_maximum_absolute,physics_temperature_rmse,physics_temperature_mae,clean_sensor_residual_rms,noisy_measurement_residual_rms,clean_relative_sensor_residual,noisy_relative_sensor_residual,noisy_sensor_reference_squared_sum,noisy_sensor_squared_error_sum,temperature_squared_error_sum,source_integral_error_sum,boundary_value_count,source_absolute_error_sum,nonnegative_violation_count,temperature_node_count,source_global_maximum_absolute,source_target_squared_sum,source_valid_node_count,clean_sensor_reference_squared_sum,temperature_absolute_error_sum,boundary_global_maximum_absolute,clean_sensor_squared_error_sum,source_squared_error_sum,noisy_sensor_count,clean_sensor_count
residual_no_attention,test_ood_sensor,pooled_global,72,0.3250070812227014,0.12838268489548468,0.3856010774959294,4.557693379905243,-1239.4373495732789,,,0.0,0.0,0.002158450774843983,0.001147092636389423,0.0024581688604054684,0.002573477877821591,0.06257441102622216,0.06550995572742435,9.495398195181181,0.0407500169491312,0.34349209785812024,-1239.4373495732789,8928.0,8319.197981227408,0.0,73728.0,4.557693379905243,46034.57893918198,64800.0,9.49547729389504,84.57284589571938,0.0,0.03718008178198158,6844.798264349495,6153.0,6153.0
residual_no_attention,test_ood_shape,mean_per_sample,84,0.23388093104190064,0.07592131788787512,0.552362306602976,1.7234354149053945,2.433437962430768,0.353787366358508,4.725683796299088,0.0,0.0,0.0007840933689267365,0.000482212904473278,0.0007792753190250057,0.0008718455354144001,0.12144994552052485,0.12982408105865023,,,,,,,,,,,,,,,,,,
residual_no_attention,test_ood_shape,pooled_global,84,0.27036036276816494,0.07592131788787511,0.47384064519613794,3.895555019378662,204.40878884418453,,,0.0,0.0,0.0009864457435587513,0.00048221290447327816,0.0008775715842908479,0.0010179465220908042,0.06268458172265437,0.07257047540605367,1.5205373866089003,0.008007870461554512,0.08370003683200503,204.40878884418453,10416.0,5739.651632323358,0.0,86016.0,3.895555019378662,24611.7907782603,75600.0,1.5146446444261992,41.478025191173494,0.0,0.005951579211567097,5525.961267163711,7728.0,7728.0
smoothness,test_id,mean_per_sample,120,0.5347187899260599,0.41629208342299756,0.8559145917533565,2.052834635023059,130.89438234792254,-1.9807657274836274,7.073674971070949,0.0,0.0,0.005195150741702433,0.003855779542368608,0.005276927532414978,0.005333266280155816,0.3005417890464372,0.30352869077891975,,,,,,,,,,,,,,,,,,
smoothness,test_id,pooled_global,120,0.6180566984417364,0.4162920834229975,0.8178212729023986,5.2983107695539555,15707.325881750705,,,0.0,0.0,0.006335459105771463,0.0038557795423686076,0.006274999910335298,0.006337829966091809,0.25046230519574303,0.2526276658246496,7.454486749183947,0.47575084231515735,4.932162610901305,15707.325881750705,14880.0,44959.54500968373,0.0,122880.0,5.2983107695539555,61682.72968288578,108000.0,7.4343174156861025,473.7981901662545,0.0,0.4663648891720416,41255.36090877954,11844.0,11844.0
smoothness,test_ood_noise,mean_per_sample,84,0.5143287508496452,0.40596253163198204,0.8811744923854512,2.0342386373657724,137.2495955650856,-1.9576070808317587,8.025531262596212,0.0,0.0,0.005034017869519192,0.003764277560445566,0.005053653091607698,0.006991139423629989,0.30359696833126226,0.38928574156185325,,,,,,,,,,,,,,,,,,
smoothness,test_ood_noise,pooled_global,84,0.6236637360571932,0.40596253163198187,0.8325793930037807,5.7467564079425015,11528.966027467191,,,0.0,0.0,0.0064857433219354214,0.0037642775604455653,0.006049074302947431,0.00852794021945102,0.245147943594146,0.3351625482468191,4.891159168130137,0.5494431499402365,3.618251551533582,11528.966027467191,10416.0,30690.76739137783,0.0,86016.0,5.7467564079425015,42420.07816662194,75600.0,4.599978457882164,323.78809863928575,0.0,0.2764472709150839,29405.108048864913,7555.0,7555.0
smoothness,test_ood_sensor,mean_per_sample,72,0.5824569643823545,0.4717542037804568,0.8614779801407787,2.08544882829162,160.70676517627695,-1.9983891198235466,6.8839021082110206,0.0,0.0,0.005730598691631127,0.0044508599222700795,0.006665622811116283,0.006705052222213962,0.2595258074686021,0.261547508058188,,,,,,,,,,,,,,,,,,
smoothness,test_ood_sensor,pooled_global,72,0.7106764929645898,0.4717542037804567,0.8431743099480287,6.7857536751793015,11570.887092691944,,,0.0,0.0,0.007332898161618259,0.00445085992227008,0.008681874249597663,0.008727916767414938,0.22100319328050083,0.22217616322001876,9.495398195181181,0.4687141958516722,3.9644574436391316,11570.887092691944,8928.0,30569.672404973593,0.0,73728.0,6.7857536751793015,46034.57893918198,64800.0,9.49547729389504,328.1530003491285,0.0,0.4637820088092934,32727.957831878673,6153.0,6153.0
smoothness,test_ood_shape,mean_per_sample,84,0.44207226538685696,0.29200297700078903,0.9526877535608561,1.76663914168013,84.26308942830535,-1.6783145488786944,7.402709931969302,0.0,0.0,0.0035493580279994485,0.0025457415799569373,0.0036193395874143408,0.0036598651803531395,0.37447048843410713,0.37740511326087123,,,,,,,,,,,,,,,,,,
